total_rob,rob_ratio,total_trade,trade_ratio,total_farm,farm_ratio,total_obey,obey_ratio
1,0.5,0,0.0,1,0.5,0,0.0
3,0.42857142857142855,2,0.2857142857142857,2,0.2857142857142857,0,0.0
3,0.3,2,0.2,5,0.5,0,0.0
5,0.3333333333333333,2,0.13333333333333333,8,0.5333333333333333,0,0.0
9,0.391304347826087,3,0.13043478260869565,11,0.4782608695652174,0,0.0
10,0.38461538461538464,3,0.11538461538461539,13,0.5,0,0.0
12,0.4,3,0.1,15,0.5,0,0.0
13,0.38235294117647056,3,0.08823529411764706,18,0.5294117647058824,0,0.0
15,0.375,3,0.075,22,0.55,0,0.0
18,0.391304347826087,3,0.06521739130434782,25,0.5434782608695652,0,0.0
21,0.40384615384615385,3,0.057692307692307696,28,0.5384615384615384,0,0.0
21,0.3888888888888889,3,0.05555555555555555,30,0.5555555555555556,0,0.0
24,0.4,3,0.05,33,0.55,0,0.0
24,0.38095238095238093,3,0.047619047619047616,36,0.5714285714285714,0,0.0
24,0.3582089552238806,3,0.04477611940298507,40,0.5970149253731343,0,0.0
24,0.3333333333333333,4,0.05555555555555555,44,0.6111111111111112,0,0.0
25,0.32051282051282054,4,0.05128205128205128,49,0.6282051282051282,0,0.0
25,0.3048780487804878,5,0.06097560975609756,52,0.6341463414634146,0,0.0
27,0.30337078651685395,5,0.056179775280898875,57,0.6404494382022472,0,0.0
