total_rob,rob_ratio,total_trade,trade_ratio,total_farm,farm_ratio,total_obey,obey_ratio
11,0.7857142857142857,0,0.0,3,0.21428571428571427,0,0.0
19,0.7037037037037037,0,0.0,8,0.2962962962962963,0,0.0
24,0.7272727272727273,0,0.0,9,0.2727272727272727,0,0.0
26,0.6190476190476191,2,0.047619047619047616,14,0.3333333333333333,0,0.0
29,0.58,2,0.04,19,0.38,0,0.0
31,0.5254237288135594,3,0.05084745762711865,25,0.423728813559322,0,0.0
33,0.5,3,0.045454545454545456,30,0.45454545454545453,0,0.0
38,0.4810126582278481,4,0.05063291139240506,37,0.46835443037974683,0,0.0
41,0.4823529411764706,4,0.047058823529411764,40,0.47058823529411764,0,0.0
44,0.4731182795698925,4,0.043010752688172046,45,0.4838709677419355,0,0.0
44,0.4444444444444444,4,0.04040404040404041,51,0.5151515151515151,0,0.0
48,0.43636363636363634,5,0.045454545454545456,57,0.5181818181818182,0,0.0
50,0.4132231404958678,6,0.049586776859504134,65,0.5371900826446281,0,0.0
50,0.3937007874015748,6,0.047244094488188976,71,0.5590551181102362,0,0.0
53,0.37857142857142856,10,0.07142857142857142,77,0.55,0,0.0
56,0.37333333333333335,11,0.07333333333333333,83,0.5533333333333333,0,0.0
57,0.36075949367088606,12,0.0759493670886076,89,0.5632911392405063,0,0.0
59,0.3575757575757576,12,0.07272727272727272,94,0.5696969696969697,0,0.0
60,0.3448275862068966,14,0.08045977011494253,100,0.5747126436781609,0,0.0
63,0.34054054054054056,16,0.08648648648648649,106,0.572972972972973,0,0.0
63,0.3247422680412371,20,0.10309278350515463,111,0.5721649484536082,0,0.0
64,0.31840796019900497,22,0.10945273631840796,115,0.572139303482587,0,0.0
69,0.3209302325581395,26,0.12093023255813953,120,0.5581395348837209,0,0.0
70,0.3167420814479638,26,0.11764705882352941,125,0.5656108597285068,0,0.0
70,0.30701754385964913,27,0.11842105263157894,131,0.5745614035087719,0,0.0
70,0.2966101694915254,29,0.1228813559322034,137,0.5805084745762712,0,0.0
70,0.2857142857142857,32,0.1306122448979592,143,0.5836734693877551,0,0.0
71,0.2795275590551181,33,0.12992125984251968,150,0.5905511811023622,0,0.0
74,0.2803030303030303,35,0.13257575757575757,155,0.5871212121212122,0,0.0
75,0.2757352941176471,36,0.1323529411764706,161,0.5919117647058824,0,0.0
75,0.26881720430107525,36,0.12903225806451613,168,0.6021505376344086,0,0.0
78,0.26804123711340205,39,0.13402061855670103,174,0.5979381443298969,0,0.0
78,0.2608695652173913,41,0.13712374581939799,180,0.6020066889632107,0,0.0
78,0.2549019607843137,42,0.13725490196078433,186,0.6078431372549019,0,0.0
79,0.246875,49,0.153125,192,0.6,0,0.0
80,0.24615384615384617,50,0.15384615384615385,195,0.6,0,0.0
80,0.23738872403560832,54,0.16023738872403562,203,0.6023738872403561,0,0.0
81,0.23546511627906977,54,0.1569767441860465,209,0.6075581395348837,0,0.0
81,0.2288135593220339,57,0.16101694915254236,216,0.6101694915254238,0,0.0
82,0.22527472527472528,60,0.16483516483516483,222,0.6098901098901099,0,0.0
82,0.2210242587601078,62,0.16711590296495957,227,0.6118598382749326,0,0.0
82,0.21635883905013192,63,0.1662269129287599,234,0.6174142480211082,0,0.0
82,0.21188630490956073,63,0.16279069767441862,242,0.6253229974160207,0,0.0
83,0.20854271356783918,65,0.16331658291457288,250,0.628140703517588,0,0.0
83,0.2044334975369458,65,0.16009852216748768,258,0.6354679802955665,0,0.0
83,0.19951923076923078,67,0.16105769230769232,266,0.6394230769230769,0,0.0
83,0.19621749408983452,68,0.1607565011820331,272,0.6430260047281324,0,0.0
84,0.1926605504587156,71,0.1628440366972477,281,0.6444954128440367,0,0.0
84,0.19004524886877827,72,0.16289592760180996,286,0.6470588235294118,0,0.0
85,0.188470066518847,73,0.16186252771618626,293,0.6496674057649667,0,0.0
86,0.18614718614718614,75,0.16233766233766234,301,0.6515151515151515,0,0.0
